"Name","Tier","Type","Difficulty","Major_Threshold","Severe_Threshold","HP","Stress","Attack_Modifier","Attack_Range","Damage_Dice","Experiences","Features","Description","Motives_Tactics"
"Glass Snake","1","Standard","14","6","10","5","3","2","Melee","1d8+2 phy","","[{""name"":""Shredding Shards"",""description"":""After a successful attack against the Snake within Melee range, the attacker must mark an Armor Slot. If they can't mark an Armor Slot, they must mark an HP.""},{""name"":""Spinning Serpent"",""description"":""Mark a Stress to make an attack against all targets within Very Close range. Targets the Snake succeeds against take 1d6+1 physical damage.""},{""name"":""Spitter"",""description"":""Spend a Fear to introduce a 6 Spitter Die. When the Snake is in the spotlight, roll this die. On a result of 5 or higher, all targets in front of the Snake within Far range must succeed on an Agility Reaction Roll or take 1d4 physical damage.""}]","The Snake can take the spotlight a second time this GM turn.","Glass SnakePage 212Errata"
"Gorgon","2","Solo","15","13","25","9","3","4","Melee","2d20+3 mag","[{""name"":""Instinct"",""value"":3}]","[{""name"":""Suneater Arrows"",""description"":""When the Gorgon makes a successful standard attack, the target Glows until the end of the scene and can't become Hidden. Attack rolls made against a Glowing target have advantage.""},{""name"":""Crown of Serpents"",""description"":""Make an attack roll against a target within Melee range using the Gorgon's protective snakes. On a success, mark Stress to deal 2d10+4 physical damage and the target must mark a Stress.""},{""name"":""Petrifying Gaze"",""description"":""When the Gorgon takes damage from an attack within Close range, you can spend a Fear to force the attacker to make an Instinct Reaction Roll. On a failure, they begin to turn to stone, marking a HP and starting a Petrification Countdown (4). This countdown ticks down when the Gorgon is attacked. When it triggers, the target must make a death move. If the Gorgon is defeated, all petrification countdowns end.""},{""name"":""Death Glare"",""description"":""When the Gorgon makes a successful attack against a PC, you gain a""}]","Death Glare—Reaction: When the Gorgon makes a successful attack against a PC, you gain a Fear.","GorgonPage 224"
"Greater Earth Elemental","3","Bruiser","17","2","40","10","4","7","Melee","3d10+1 phy","","[{""name"":""Slow"",""description"":""When you spotlight the Elemental and they don't have a token on their stat block, they can't act yet. Place a token on their stat block and describe what they're preparing to do. When you spotlight the Elemental and they have a token on their stat block, clear the token and they can act.""},{""name"":""Crushing Blows"",""description"":""When the Elemental makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional HP.""},{""name"":""Immovable Object"",""description"":""An attack that would move the Elemental moves them two fewer ranges (for example, Far becomes Very Close). When the Elemental takes physical damage, reduce it by 7.""},{""name"":""Rockslide"",""description"":""Mark a Stress to create a rockslide that buries all the land in front of Elemental within Close range with rockfall. All targets in this area must make an Agility Reaction Roll (19). Targets who fail take 2d12+5 physical damage and become Vulnerable until their next roll with Hope. Targets who succeed take half damage.""},{""name"":""Momentum"",""description"":""When the Elemental makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Elemental makes a successful attack against a PC, you gain a Fear.","Greater Earth ElementalPage 230"
"Greater Water Elemental","3","Support","17","17","34","5","5","3","Melee","3d4+1 mag","","[{""name"":""Water Jet"",""description"":""Mark a Stress to attack a target within Very Close range. On a success, deal 2d4+7 physical damage and the target's next action has disadvantage. On a failure, the target must mark a Stress.""},{""name"":""Drowning Embrace"",""description"":""Spend a Fear to make an attack against all targets within Very Close range. Targets the Elemental succeeds against become Restrained and Vulnerable as they begin drowning. A target can break free, ending both conditions, with a successful Strength or Instinct Roll.""},{""name"":""High Tide"",""description"":""When the Elemental makes a successful standard attack, you can mark a""}]","High Tide—Reaction: When the Elemental makes a successful standard attack, you can mark a Stress to knock the target back to Close range.","Greater Water ElementalPage 230"
"Green Ooze","1","Skulk","8","5","10","5","2","1","Melee","1d6+1 mag","[{""name"":""Camouflage"",""value"":3}]","[{""name"":""Slow"",""description"":""When you spotlight the Ooze and they don't have a token on their stat block, they can't act. Place a token on their stat block and describe what they're preparing to do. When you spotlight the Ooze and they have a token on their stat block, clear the token and they can act.""},{""name"":""Acidic Form"",""description"":""When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional HP.""},{""name"":""Envelop"",""description"":""Make a standard attack against a target within Melee range. On a success, the Ooze envelops them and the target must mark 2 Stress. The target must mark an additional Stress when they make an action roll. If the Ooze takes Severe damage, the target is freed.""},{""name"":""Split"",""description"":""When the Ooze has 3 or more HP marked, you can spend a Fear to split them into two Tiny Green Oozes (with no marked HP or Stress).""}]","Immediately spotlight both of them.","Green OozePage 215"
"Tiny Green Ooze","1","Skulk","14","6","10","2","1","2","Melee","1d4+4","","[{""name"":""Acidic Form"",""description"":""When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional""}]","Tiny Green OozePage 215","Tiny Green OozePage 215"
"Hallowed Archer","4","Ranged","19","2","45","3","2","4","Melee","4d8+8 phy","","[{""name"":""Punish the Guilty"",""description"":""The Archer deals double damage to targets marked Guilty by a High Seraph.""}]","Divine Volley—Action: Mark a Stress to make a standard attack against up to three targets.","ArcherPage 236"
"Hallowed Soldier","4","Minion","18",,,"1","2","2","Melee","10 phy","","[{""name"":""Divine Flight"",""description"":""While the Soldier is flying, spend a Fear to move up to Far range instead of Close range before taking an action.""},{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Hallowed Soldiers within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 10 physical damage each.""}]","Combine this damage.","ierPage 236"
"Harrier","1","Standard","12","5","9","3","3","1","Melee","1d6+2 phy","[{""name"":""Camouflage"",""value"":2}]","[{""name"":""Maintain Distance"",""description"":""After making a standard attack, the Harrier can move anywhere within Far range.""},{""name"":""Fall Back"",""description"":""When a creature moves into Melee range to make an attack, you can mark a Stress before the attack roll to move anywhere within Close range and make an attack against that creature. On a success, deal 1d10+2 physical damage.""}]","On a success, deal 1d10+2 physical damage.","HarrierPage 212"
"Head Guard","1","Leader","15","7","13","7","3","4","Melee","1d10+4 phy","[{""name"":""Commander"",""value"":2},{""name"":""Local Knowledge"",""value"":2}]","[{""name"":""Rally Guards"",""description"":""Spend 2 Fear to spotlight the Head Guard and up to 2d4 allies within Far range.""},{""name"":""On My Signal"",""description"":""Countdown (5). When the Head Guard is in the spotlight for the first time, activate the countdown. It ticks down when a PC makes an attack roll. When it triggers, all Archer Guards within Far range make a standard attack with advantage against the nearest target within their range. If any attacks succeed on the same target, combine their damage.""},{""name"":""Momentum"",""description"":""When the Head Guard makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Head Guard makes a successful attack against a PC, you gain a Fear.","Page 212"
"Head Vampire","3","Leader","17","2","42","6","6","5","Melee","2d20+4 phy","[{""name"":""Aristocrat"",""value"":3}]","[{""name"":""Terrifying"",""description"":""When the Vampire makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.""},{""name"":""Look Into My Eyes"",""description"":""A creature who moves into Melee range of the Vampire must make an Instinct Reaction Roll. On a failure, you gain 1d4 Fear.""},{""name"":""Feed on Followers"",""description"":""When the Vampire is within Melee range of an ally, they can cause the ally to mark a HP. The Vampire then clears a HP.""},{""name"":""The Hunt Is On"",""description"":""Spend 2 Fear to summon 1d4 Vampires, who appear at Far range and immediately take the spotlight.""},{""name"":""Lifesuck"",""description"":""When the Vampire is spotlighted, roll a d8. On a result of 6 or higher, all targets within""}]","Head VampirePage 232","VampirePage 232"
"High Seraph","4","Leader","20","37","70","7","5","8","Melee","4d10+10 phy","[{""name"":""Divine Knowledge"",""value"":3}]","[{""name"":""Divine Flight"",""description"":""While the Seraph is flying, spend a Fear to move up to Far range instead of Close range before taking an action.""},{""name"":""Judgment"",""description"":""Spend a Fear to make a target Guilty in the eyes of the Seraph's god until the Seraph is defeated. While Guilty, the target doesn't gain Hope on a result with Hope. When the Seraph succeeds on a standard attack against a Guilty target, they deal Severe damage instead of their standard damage. The Seraph can only mark one target at a time.""},{""name"":""God Rays"",""description"":""Mark a Stress to reflect a sliver of divinity as a searing beam of light that hits up to twenty targets within Very Far range. Targets must make a Presence Reaction Roll, with disadvantage if they are marked Guilty. Targets who fail take 4d6+12 magic damage. Targets who succeed take half damage.""},{""name"":""We Are One"",""description"":""Once per scene, spend a Fear to spotlight all other adversaries within Far range.""}]","Attacks they make while spotlighted in this way deal half damage.","High SeraphPage 236"
"Huge Green Ooze","3","Skulk","15","1","30","7","4","3","Melee","3d8+1 mag","[{""name"":""Blend In"",""value"":3}]","[{""name"":""Slow"",""description"":""When you spotlight the Ooze and they don't have a token on their stat block, they can't act yet. Place a token on their stat block and describe what they're preparing to do. When you spotlight the Ooze and they have a token on their stat block, clear the token and they can act.""},{""name"":""Acidic Form"",""description"":""When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional HP.""},{""name"":""Envelop"",""description"":""Make an attack against a target within Melee range. On a success, the Ooze Envelops them and the target must mark 2 Stress. While Enveloped, the target must mark an additional Stress every time they make an action roll. When the Ooze takes Severe damage, all Enveloped targets are freed and the condition is cleared.""},{""name"":""Split"",""description"":""When the Ooze has 4 or more HP marked, you can spend a Fear to split them into two Green Oozes (with no marked HP or Stress).""}]","Immediately spotlight both of them.","Huge Green OozePage 231"
"Hydra","3","Solo","18","19","35","10","5","3","Melee","2d12+2 phy","","[{""name"":""Headed Menace"",""description"":""The Hydra begins with three heads and can have up to five. When the Hydra takes Major or greater damage, they lose a head.Relentless (X)—Passive: The Hydra can be spotlighted X times per GM turn, where X is the Hydra's number of heads. Spend Fear as usual to spotlight them.""},{""name"":""Regeneration"",""description"":""If the Hydra has any marked HP, spend a Fear to clear a HP and grow two heads.""},{""name"":""Terrifying Chorus"",""description"":""All PCs within Far range lose 2 Hope.""},{""name"":""Magical Weakness"",""description"":""When the Hydra takes magic damage, they become Dazed until the next roll with Fear. While Dazed, they can't use their""}]","While Dazed, they can't use their Regeneration action but are immune to magic damage.","raPage 231"
"Jagged Knife Bandit","1","Standard","12","8","14","5","3","1","Melee","1d8+1 phy","[{""name"":""Thief"",""value"":2}]","[{""name"":""Climber"",""description"":""The Bandit climbs just as easily as they run.""},{""name"":""From Above"",""description"":""When the Bandit succeeds on a standard attack from above a target, they deal 1d10+1 physical damage instead of their standard damage.""}]","From Above—Passive: When the Bandit succeeds on a standard attack from above a target, they deal 1d10+1 physical damage instead of their standard damage.","itPage 193Page 213"
"Jagged Knife Hexer","1","Support","13","5","9","4","4","2","Melee","1d6+2 mag","[{""name"":""Magical Knowledge"",""value"":2}]","[{""name"":""Curse"",""description"":""Choose a target within Far range and temporarily Curse them. While the target is Cursed, you can mark a Stress so that target rolls with Hope to make the roll be with Fear instead.""},{""name"":""Chaotic Flux"",""description"":""Make an attack against up to three targets within Very Close range. Mark a Stress to deal 2d6+3 magic damage to targets the""}]","Mark a Stress to deal 2d6+3 magic damage to targets the Hexer succeeded against.","Knife HexerPage 213"
"Jagged Knife Kneebreaker","1","Bruiser","12","7","14","7","4","1","Melee","1d8+6","[{""name"":""Thief"",""value"":2},{""name"":""Unveiled Threats"",""value"":3}]","","The target can break free, clearing both conditions, with a successful Strength Roll or is freed automatically if the Kneebreaker takes Major or greater damage.","Knife KneebreakerPage 213"
"Jagged Knife Lackey","1","Minion","9",,,"1","1","0","Melee","2 phy","[{""name"":""Thief"",""value"":2}]","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Jagged Knife Lackeys within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each.""}]","Combine this damage.","Knife LackeyPage 213"
"Jagged Knife Lieutenant","1","Leader","13","7","14","6","3","2","Melee","1d8+3 phy","[{""name"":""Local Knowledge"",""value"":2}]","[{""name"":""Tactician"",""description"":""When you spotlight the Lieutenant, mark a Stress to also spotlight two allies within Close range.""},{""name"":""More Where That Came From"",""description"":""Summon three Jagged Knife Lackeys, who appear at Far range.""},{""name"":""Coup de Grace"",""description"":""Spend a Fear to make an attack against a Vulnerable target within Close range. On a success, deal 2d6+12 physical damage and the target must mark a Stress.""},{""name"":""Momentum"",""description"":""When the Lieutenant makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Lieutenant makes a successful attack against a PC, you gain a Fear.","Knife LieutenantPage 213"
"Jagged Knife Shadow","1","Skulk","12","4","8","3","3","1","Melee","1d4+4 phy","[{""name"":""Intrusion"",""value"":3}]","[{""name"":""Backstab"",""description"":""When the Shadow succeeds on a standard attack that has advantage, they deal 1d6+6 physical damage instead of their standard damage.""},{""name"":""Cloaked"",""description"":""Become Hidden until after the Shadow's next attack.""}]","Attacks made while Hidden from this feature have advantage.","owPage 214"
"Jagged Knife Sniper","1","Ranged","13","4","7","3","2","2","Melee","1d8+5","[{""name"":""Stealth"",""value"":2}]","[{""name"":""Unseen Strike"",""description"":""If the Sniper is Hidden when they make a successful standard attack against a target, they deal 1d10+4 physical damage instead of their standard damage.""}]","Jagged Knife SniperPage 214","Knife SniperPage 214"
"Juvenile Flickerfly","2","Solo","14","13","26","10","5","4","Melee","2d8+6","","[{""name"":""Peerless Accuracy"",""description"":""Before the Flickerfly makes an attack, roll a d6. On a result of 4 or higher, the target's Evasion is halved against this attack.""},{""name"":""Mind Dance"",""description"":""Mark a Stress to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfly learns one of the target's fears.""},{""name"":""Hallucinatory Breath"",""description"":""Countdown (Loop 1d6). When the Flickerfly takes damage for the first time, activate the countdown. When it triggers, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must succeed on an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfly have disadvantage on this roll.""}]","Targets who fail must mark a Stress and lose a Hope.","Juvenile FlickerflyPage 214"
"Knight of the Realm","2","Leader","15","13","26","6","4","4","Melee","2d10+4 phy","[{""name"":""Ancient Knowledge"",""value"":3},{""name"":""High Society"",""value"":2},{""name"":""Tactics"",""value"":2}]","[{""name"":""Chevalier"",""description"":""While the Knight is on a mount, they gain a +2 bonus to their Difficulty. When they take Severe damage, they're knocked from their mount and lose this benefit until they're next spotlighted.""},{""name"":""Heavily Armored"",""description"":""When the Knight takes physical damage, reduce it by 3.""}]","Attacks they make while spotlighted in this way deal half damage.","Knight of the RealmPage 224"
"Kraken","4","Solo","20","3","70","11","8","7","Melee","4d12+10 phy","[{""name"":""Swimming"",""value"":3}]","[{""name"":""Many Tentacles"",""description"":""While the Kraken has 7 or fewer marked HP, they can make their standard attack against two targets within range.""},{""name"":""Grapple and Drown"",""description"":""Make an attack roll against a target within Close range. On a success, mark a Stress to grab them with a tentacle and drag them beneath the water. The target is Restrained and Vulnerable until they break free with a successful Strength Roll or the Kraken takes Major or greater damage. While Restrained and Vulnerable in this way, a target must mark a Stress when they make an action roll.""},{""name"":""Boiling Blast"",""description"":""Spend a Fear to spew a line of boiling water at any number of targets in a line up to Far range. All targets must succeed on an Agility Reaction Roll or take 4d6+9 physical damage. If a target marks an Armor Slot to reduce the damage, they must also mark a Stress.""},{""name"":""Momentum"",""description"":""When the Kraken makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Kraken makes a successful attack against a PC, you gain a Fear.","KrakenPage 236"
"Masked Thief","2","Skulk","14","8","17","4","5","3","Melee","2d8+3 phy","[{""name"":""Acrobatics"",""value"":3}]","[{""name"":""Quick Hands"",""description"":""Make an attack against a target within Melee range. On a success, deal 1d8+2 physical damage and the Thief steals one item or consumable from the target's inventory.""},{""name"":""Escape Plan"",""description"":""Mark a Stress to reveal a snare trap set anywhere on the battlefield by the Thief. All targets within Very Close range of the trap must succeed on an Agility Reaction Roll (13) or be pulled off their feet and suspended upside down. The target is Restrained and Vulnerable until they break free, ending both conditions, with a successful Finesse or Strength Roll (13).""}]","The target is Restrained and Vulnerable until they break free, ending both conditions, with a successful Finesse or Strength Roll (13).","ThiefPage 225"
"Master Assassin","2","Leader","15","1","25","7","5","5","Melee","2d10+2 phy","[{""name"":""Command"",""value"":3},{""name"":""Intrusion"",""value"":3}]","[{""name"":""See It Coming"",""description"":""The Assassin deals direct damage while they're Hidden.""},{""name"":""Strike as One"",""description"":""Mark a Stress to spotlight a number of other Assassins equal to the Assassin's unmarked Stress.""},{""name"":""The Subtle Blade"",""description"":""When the Assassin successfully makes a standard attack against a Vulnerable target, you can spend a Fear to deal Severe damage instead of their standard damage.""},{""name"":""Momentum"",""description"":""When the Assassin makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Assassin makes a successful attack against a PC, you gain a Fear.","Master AssassinPage 220"
"Merchant","1","Social","12","4","8","3","3","0","Melee","1d4+1","[{""name"":""Shrewd Negotiator"",""value"":3}]","[{""name"":""Preferential Treatment"",""description"":""A PC who succeeds on a Presence Roll against the Merchant gains a discount on purchases. A PC who fails on a Presence Roll against the Merchant must pay more and has disadvantage on future Presence Rolls against the Merchant.""},{""name"":""The Runaround"",""description"":""When a PC rolls a 14 or lower on a Presence Roll made against the Merchant, they must mark a""}]","The Runaround—Passive: When a PC rolls a 14 or lower on a Presence Roll made against the Merchant, they must mark a Stress.","MerchantPage 204"
"Merchant Baron","2","Social","15","9","19","5","3","2","Melee","1d6+2 phy","[{""name"":""Nobility"",""value"":2},{""name"":""Trade"",""value"":2}]","[{""name"":""Everyone Has a Price"",""description"":""Spend a Fear to offer a target a dangerous bargain for something they want or need. If used on a PC, they must make a Presence Reaction Roll (17). On a failure, they must mark 2 Stress or take the deal.""},{""name"":""The Best Muscle Money Can Buy"",""description"":""Once per scene, mark a Stress to summon 1d4+1 Tier 1 adversaries, who appear at Far range, to enforce the Baron's will.""}]","Merchant BaronPage 225","Merchant BaronPage 225"
"Minor Chaos Elemental","1","Solo","14","7","14","7","3","3","Melee","1d12+6 mag","","[{""name"":""Arcane Master"",""description"":""The Elemental is resistant to magic damage.""},{""name"":""Sickening Flux"",""description"":""Mark a HP to force all targets within Close range to mark a Stress and become Vulnerable until their next rest or they clear a HP.""},{""name"":""Remake Reality"",""description"":""Spend a Fear to transform the area within Very Close range into a different biome. All targets within this area take 2d6+3 direct magic damage.""},{""name"":""Magical Reflection"",""description"":""When the Elemental takes damage from an attack within Close range, deal an amount of damage to the attacker equal to half of the damage they dealt.""},{""name"":""Momentum"",""description"":""When the Elemental makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Elemental makes a successful attack against a PC, you gain a Fear.","Minor Chaos ElementalPage 214"
"Minor Demon","1","Solo","14","8","15","8","4","3","Melee","1d8+6 phy","","[{""name"":""All Must Fall"",""description"":""When a PC rolls a failure with Fear while within Close range of the Demon, they lose a Hope.""},{""name"":""Hellfire"",""description"":""Spend a Fear to rain down hellfire within Far range. All targets within the area must make an Agility Reaction Roll. Targets who fail take 1d20+3 magic damage. Targets who succeed take half damage.""},{""name"":""Reaper"",""description"":""Before rolling damage for the Demon's attack, you can mark a Stress to gain a bonus to the damage roll equal to the Demon's current number of marked HP.""},{""name"":""Momentum"",""description"":""When the Demon makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Demon makes a successful attack against a PC, you gain a Fear.","emonPage 215"
"Minor Fire Elemental","1","Solo","13","7","15","9","3","3","Melee","1d10+4 mag","","[{""name"":""Scorched Earth"",""description"":""Mark a Stress to choose a point within Far range. The ground within Very Close range of that point immediately bursts into flames. All creatures within this area must make an Agility Reaction Roll. Targets who fail take 2d8 magic damage from the flames. Targets who succeed take half damage.""},{""name"":""Explosion"",""description"":""Spend a Fear to erupt in a fiery explosion. Make an attack against all targets within Close range. Targets the Elemental succeeds against take 1d8 magic damage and are knocked back to Far range.""},{""name"":""Consume Kindling"",""description"":""Three times per scene, when the Elemental moves on objects that are highly flammable, consume them to clear a HP or a Stress.""},{""name"":""Momentum"",""description"":""When the Elemental makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Elemental makes a successful attack against a PC, you gain a Fear.","Minor Fire ElementalPage 214"
"Minor Treant","1","Minion","10",,,"1","1","0","Melee","4 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Minor Treants within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each.""}]","Combine this damage.","Minor TreantPage 215"
"Minotaur Wrecker","2","Bruiser","16","14","27","7","5","2","Melee","2d8+5 phy","[{""name"":""Navigation"",""value"":2}]","[{""name"":""Ramp Up"",""description"":""You must spend a Fear to spotlight the Minotaur. While spotlighted, they can make their standard attack against all targets within range.""},{""name"":""Charging Bull"",""description"":""Mark a Stress to charge through a group within Close range and make an attack against all targets in the Minotaur's path. Targets the Minotaur succeeds against take 2d6+8 physical damage and are knocked back to Very Far range. If a target is knocked into a solid object or another creature, they take an extra 1d6 damage (combine their damage).""},{""name"":""Gore"",""description"":""Make an attack against a target within Very Close range, moving the Minotaur into Melee range of them. On a success, deal 2d8 direct physical damage.""}]","On a success, deal 2d8 direct physical damage.","Minotaur WreckerPage 225"
"Monarch","3","Social","16","16","32","6","5","0","Melee","3d6+3 phy","[{""name"":""History"",""value"":3},{""name"":""Nobility"",""value"":3}]","[{""name"":""Crossguard"",""description"":""Once per scene, mark a Stress to summon six Tier 3 Minions, who appear at Close range to enforce the Monarch's will.Casus Bell—Reaction: Long-Term Countdown (8). Spend a Fear to activate after the Monarch's desire for war is first revealed. When it triggers, the Monarch has a reason to rally the nation to war and the support to act on that reason. You gain 1d4""}]","You gain 1d4 Fear.","MonarchPage 231"
"Mortal Hunter","2","Leader","16","1","27","6","4","5","Melee","2d12+1 phy","[{""name"":""Bloodhound"",""value"":3}]","[{""name"":""Terrifying"",""description"":""When the Hunter makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.""},{""name"":""Deathlock"",""description"":""Spend a Fear to curse a target within Very Close range with a necrotic Deathlock until the end of the scene. Attacks made by the Hunter against a Deathlocked target deal direct damage. The Hunter can only maintain one Deathlock at a time.""},{""name"":""Inevitable Death"",""description"":""Mark a Stress to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage.""},{""name"":""Rampage"",""description"":""Countdown (Loop 1d6). When the Hunter is in the spotlight for the first time, activate the countdown. When it triggers, move the Hunter in a straight line to a point within Far range and make an attack against all targets in their path. Targets the Hunter succeeds against take 2d8+2 physical damage.""}]","Targets the Hunter succeeds against take 2d8+2 physical damage.","Mortal HunterPage 225"
"Oak Treant","3","Bruiser","17","22","40","7","4","2","Melee","3d8+2 phy","[{""name"":""Forest Knowledge"",""value"":3}]","[{""name"":""Just a Tree"",""description"":""Before they make their first attack in a fight or after they become Hidden, the Treant is indistinguishable from other trees until they next act or a PC succeeds on an Instinct Roll to identify them.""},{""name"":""Seed Barrage"",""description"":""Mark a Stress and make an attack against up to three targets within Close range, pummeling them with giant acorns. Targets the Treant succeeds against take 2d10+5 physical damage.""},{""name"":""Take Root"",""description"":""Mark a Stress to Root the Treant in place. The Treant is Restrained while Rooted, and can end this effect instead of moving while they are spotlighted. While Rooted, the""}]","While Rooted, the Treant has resistance to physical damage.","Oak TreantPage 232"
"Oracle of Doom","4","Solo","20","38","68","11","10","8","Melee","4d8+9 mag","[{""name"":""Boundless Knowledge"",""value"":4}]","[{""name"":""Terrifying"",""description"":""When the Oracle makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.""},{""name"":""Walls Closing In"",""description"":""When a creature rolls a failure while within Very Far range of the Oracle, they must mark a Stress.""},{""name"":""Pronounce Fate"",""description"":""Spend a Fear to present a target within Far range with a vision of their personal nightmare. The target must make a Knowledge Reaction Roll. On a failure, they lose all Hope and take 2d10+4 direct magic damage. On a success, they take half damage and lose a Hope.""},{""name"":""Summon Tormentors"",""description"":""Once per day, spend 2 Fear to summon 2d4 Tier 2 or below Minions relevant to one of the PC's personal nightmares. They appear at Close range relative to that PC.""},{""name"":""Ominous Knowledge"",""description"":""When the Oracle sees a mortal creature, they instantly know one of their personal nightmares.""},{""name"":""Vengeful Fate"",""description"":""When the Oracle marks HP from an attack within Very Close range, you can mark a Stress to knock the attacker back to Far range and deal 2d10+4 physical damage.""}]","","oomPage 237"
"Outer Realms Abomination","4","Bruiser","19","3","71","7","5","2","Melee","4d6+13 mag","","[{""name"":""Chaotic Form"",""description"":""When the Abomination attacks, roll 2d4 and use the result as their attack modifier.""},{""name"":""Disorienting Presence"",""description"":""When a target takes damage from the Abomination, they must make an Instinct Reaction Roll. On a failure, they gain disadvantage on their next action roll and you gain a Fear.""},{""name"":""Reality Quake"",""description"":""Spend a Fear to rattle the edges of reality within Far range of the Abomination. All targets within that area must succeed on a Knowledge Reaction Roll or become Unstuck from reality until the end of the scene. When an Unstuck target spends Hope or marks Armor Slots, HP, or Stress, they must double the amount spent or marked.""},{""name"":""Fungal Form"",""description"":""When the Abomination takes damage, reduce it by 1d20. If the Abomination marks 1 or fewer Hit Points from a successful attack against them, you gain a""}]","If the Abomination marks 1 or fewer Hit Points from a successful attack against them, you gain a Fear.","Outer Realms AbominationPage 237"
"Outer Realms Corruptor","4","Support","19","27","47","4","3","7","Melee","4d8+5 mag","","[{""name"":""Shattering Touch"",""description"":""When a PC takes damage from the Corrupter, they lose a Hope.""},{""name"":""Disgorge Reality Flotsam"",""description"":""Mark a Stress to spew partially digested portions of consumed realities at all targets within Close range. Targets must succeed on a Knowledge Reaction Roll or mark 2""}]","Targets must succeed on a Knowledge Reaction Roll or mark 2 Stress.","Outer Realms CorruptorPage 237"
"Outer Realms Thrall","4","Minion","17",,,"1","1","3","Melee","11 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Outer Realm Thralls within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 11 physical damage each.""}]","Combine this damage.","Outer Realms ThrallPage 237"
"Patchwork Zombie Hulk","1","Solo","13","8","15","10","3","4","Melee","1d20 phy","[{""name"":""Intimidation"",""value"":2},{""name"":""Tear Things Apart"",""value"":2}]","[{""name"":""Destructive"",""description"":""When the Zombie takes Major or greater damage, they mark an additional HP.""},{""name"":""Flailing Limbs"",""description"":""When the Zombie makes a standard attack, they can attack all targets within Very Close range.""},{""name"":""Another for the Pile"",""description"":""When the Zombie is within Very Close range of a corpse, they can incorporate it into themselves, clearing a HP and a Stress.""},{""name"":""Tormented Screams"",""description"":""Mark a Stress to cause all PCs within Far range to make a Presence Reaction Roll (13). Targets who fail lose a Hope and you gain a Fear for each.""}]","Targets who succeed must mark a Stress.","Patchwork Zombie HulkPage 219"
"Perfected Zombie","4","Bruiser","20","40","70","9","4","4","Melee","4d12+15 phy","","[{""name"":""Terrifying"",""description"":""On successful attack, all PCs in Far range lose Hope and you gain Fear.""},{""name"":""Fearsome Presence"",""description"":""PCs can't spend Hope to use features against the Zombie.""},{""name"":""Perfect Strike"",""description"":""Mark a Stress to attack all targets within Very Close range; on success, targets are Vulnerable until next rest.""},{""name"":""Skilled Opportunist"",""description"":""When another adversary deals damage to target within Very Close range of Zombie, spend a Fear to add Zombie's standard attack damage to the damage roll.""}]","Skilled Opportunist—Reaction: When another adversary deals damage to target within Very Close range of Zombie, spend a Fear to add Zombie's standard attack damage to the damage roll.","ZombiePage 239"
"Petty Noble","1","Social","14","6","10","3","5","0","Melee","1d4+1","[{""name"":""Aristocrat"",""value"":3}]","[{""name"":""My Rules"",""description"":""All social actions made against the Noble on their land have disadvantage.Guards, Seize Them!—Action: Once per scene, mark a Stress to summon 1d4 Bladed Guards, who appear at Far range to enforce the Noble's will.""},{""name"":""Exile"",""description"":""Spend a Fear and target a PC. The Noble proclaims that the target and their allies are exiled from the noble's territory. While exiled, the target and their allies have disadvantage during social situations within the Noble's domain.""}]","While exiled, the target and their allies have disadvantage during social situations within the Noble's domain.","Petty NoblePage 216"
